time,p_delta,p_grid,berlin_server_1.p,berlin_server_2.p,berlin_server_3.p,berlin_solar_1.p,berlin_solar_2.p,berlin_solar_3.p,policy.mode,policy.charge_power,storage.soc,storage.charge_level,storage.capacity,storage.min_soc,storage.c_rate
2022-06-15 00:00:00,-900.0,0.0,-400,-300,-200,0.0,0.0,0.0,grid-connected,0.0,0.65,2275.0,3500,0.1,
2022-06-15 00:05:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.6285714285714286,2200.0,3500,0.1,
2022-06-15 00:10:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.615,2152.5,3500,0.1,
2022-06-15 00:15:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.6014285714285714,2105.0,3500,0.1,
2022-06-15 00:20:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.5878571428571429,2057.5,3500,0.1,
2022-06-15 00:25:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.5742857142857143,2010.0,3500,0.1,
2022-06-15 00:30:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.5607142857142857,1962.5,3500,0.1,
2022-06-15 00:35:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.5471428571428572,1915.0,3500,0.1,
2022-06-15 00:40:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.5335714285714286,1867.5,3500,0.1,
2022-06-15 00:45:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.52,1820.0,3500,0.1,
2022-06-15 00:50:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.5064285714285715,1772.5,3500,0.1,
2022-06-15 00:55:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.4928571428571429,1725.0,3500,0.1,
2022-06-15 01:00:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.47928571428571426,1677.5,3500,0.1,
2022-06-15 01:05:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.4657142857142857,1630.0,3500,0.1,
2022-06-15 01:10:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.4521428571428571,1582.5,3500,0.1,
2022-06-15 01:15:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.43857142857142856,1535.0,3500,0.1,
2022-06-15 01:20:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.425,1487.5,3500,0.1,
2022-06-15 01:25:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.4114285714285714,1440.0,3500,0.1,
2022-06-15 01:30:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.39785714285714285,1392.5,3500,0.1,
2022-06-15 01:35:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.3842857142857143,1345.0,3500,0.1,
2022-06-15 01:40:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.3707142857142857,1297.5,3500,0.1,
2022-06-15 01:45:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.35714285714285715,1250.0,3500,0.1,
2022-06-15 01:50:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.3435714285714286,1202.5,3500,0.1,
2022-06-15 01:55:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.33,1155.0,3500,0.1,
2022-06-15 02:00:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.31642857142857145,1107.5,3500,0.1,
2022-06-15 02:05:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.3028571428571429,1060.0,3500,0.1,
2022-06-15 02:10:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.2892857142857143,1012.5,3500,0.1,
2022-06-15 02:15:00,-570.0,0.0,-253.33333333333331,-190.0,-126.66666666666666,0.0,0.0,0.0,grid-connected,0.0,0.2757142857142857,965.0,3500,0.1,
